t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,15.100694444444445,29.025,13.254926198555555,20.39097222222222,27.854619006451394,28.75931940777778,18.506544328902777,26.110416666666666,30.195165209166664,21.509027777777778,18.82638888888889,18.39082036388889,14.884027777777778
1,16.54513888888889,31.14260390027778,20.234288127555555,25.757732204472223,39.44529248090277,32.536951370555556,23.358406434777777,33.12922741979167,29.794444444444444,27.936803694444446,20.56597222222222,22.07058023611111,20.83888888888889
2,14.841666666666667,22.27932852611111,16.020203976333335,21.79662109336111,32.79345967243056,24.632364574166665,17.078338850375,26.42152777777778,25.398637431388888,15.969790736111111,17.220855830902778,16.703269744444444,19.115277777777777
3,14.531944444444445,22.761111111111113,15.308083742277777,19.677777777777777,19.919444444444444,26.99515620416667,20.645833333333332,25.117361111111112,24.290972222222223,24.923955541666665,17.39793916423611,15.318699380555556,19.529166666666665
4,18.964583333333334,24.2,21.406260758722222,21.080695528930555,27.71875,27.117652741111115,16.144044328902776,26.014583333333334,29.72988743138889,20.40381851388889,19.089605830902777,22.56487282222222,15.559027777777779
5,17.925694444444446,28.53125,16.955371051944443,22.372362195597223,33.34773450958333,29.94807979694444,22.246261034083332,26.938255197569443,39.413299725555554,27.206596291666663,21.625716942013888,25.768004936111115,19.849305555555556
6,16.457638888888887,26.820833333333333,13.057703976333332,18.9625,19.200950588125,23.667086796388887,17.34695547852778,23.709027777777777,24.227135973888885,20.886111111111113,23.03611111111111,21.644885791666667,20.541666666666668
7,14.307638888888889,24.55248798194444,13.777842865222222,21.038982204472223,21.196527777777778,22.658753463055557,17.165972222222223,23.18611111111111,31.458359653611108,20.471527777777776,18.97222222222222,19.931047522222222,24.415277777777778
8,13.92876117675,30.397303151944445,12.577148420777778,20.261852213347222,22.615972222222222,24.06917012972222,17.93111662815278,29.25138888888889,27.764662294166666,18.145138888888887,20.79722222222222,19.477777777777778,17.446527777777778
9,15.810705621194444,31.198402245000004,13.473990877055556,23.456483288958335,29.18636725479167,31.900197760833333,21.344444444444445,30.919444444444444,34.718828960833335,22.824305555555554,21.054861111111112,23.570138888888888,19.319809992152777
10,16.867650065638887,25.43782371888889,18.33485239711111,19.11875,22.76875,22.072788166944445,15.75,27.604861111111113,26.252804098055552,21.649305555555557,19.070138888888888,22.3775753,18.37152777777778
11,15.623611111111112,24.95329727916667,12.655620643,17.770185546680555,16.638194444444444,34.5094479075,18.921822106680555,28.698611111111113,28.811805555555555,19.03611111111111,19.149328053125,18.851388888888888,15.793421103263888
12,14.937094510083332,27.18136485277778,14.722102806055556,19.427223306708335,21.157456731805556,22.023318938875,16.478205478527777,30.081310753125,34.1284985425,22.463540736111113,22.68266138645833,19.899544425,16.413194444444443
13,20.21406130802778,24.232268163333337,15.863834560166667,23.069537760027778,28.925512287361112,24.345833333333335,17.090011034083332,29.385416666666668,28.661805555555556,20.446527777777778,29.775716942013887,23.079759872222223,21.086805555555557
