t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,36.357142857142854,47.5083242,15.428571428571429,26.214285714285715,9.928571428571429,15.571428571428571,10.214285714285714,9.571428571428571,37.5,28.571428571428573,15.0,17.142857142857142,24.785714285714285
1,37.07142857142857,31.214285714285715,18.785714285714285,30.214285714285715,24.071428571428573,27.357142857142858,5.571428571428571,5.714285714285714,35.142857142857146,29.071428571428573,17.571428571428573,10.857142857142858,21.785714285714285
2,30.142857142857142,30.785714285714285,20.714285714285715,27.428571428571427,16.642857142857142,28.5,10.571428571428571,5.642857142857143,42.42857142857143,26.714285714285715,20.714285714285715,17.5,15.071428571428571
3,41.81543532285714,36.214285714285715,19.714285714285715,26.5,12.928571428571429,17.571428571428573,12.428571428571429,12.428571428571429,39.785714285714285,21.857142857142858,16.0,18.857142857142858,23.071428571428573
4,31.285714285714285,42.142857142857146,23.928571428571427,30.285714285714285,17.214285714285715,23.071428571428573,22.357142857142858,5.5,38.857142857142854,12.5,18.642857142857142,14.142857142857142,30.0
5,36.07142857142857,41.92857142857143,12.5,31.571428571428573,21.857142857142858,18.857142857142858,14.714285714285714,5.357142857142857,40.0,26.571428571428573,13.5,12.0,26.642857142857142
6,33.785714285714285,44.285714285714285,15.824775925714286,28.714285714285715,24.071428571428573,22.785714285714285,17.785714285714285,5.642857142857143,35.57142857142857,17.428571428571427,12.142857142857142,16.071428571428573,22.5
7,20.285714285714285,44.214285714285715,18.857142857142858,32.285714285714285,25.214285714285715,25.5,14.857142857142858,7.785714285714286,29.142857142857142,13.857142857142858,18.071428571428573,24.5,31.5
8,31.785714285714285,41.57142857142857,22.428571428571427,35.285714285714285,25.142857142857142,15.714285714285714,19.0,8.142857142857142,32.714285714285715,29.5,18.0,27.428571428571427,29.0
9,34.42857142857143,37.214285714285715,22.357142857142858,31.285714285714285,21.214285714285715,21.714285714285715,23.785714285714285,10.714285714285714,31.857142857142858,38.857142857142854,18.714285714285715,24.571428571428573,25.785714285714285
10,25.5,37.357142857142854,16.071428571428573,31.928571428571427,16.214285714285715,8.785714285714286,20.214285714285715,11.071428571428571,36.642857142857146,27.928571428571427,17.071428571428573,18.928571428571427,29.785714285714285
11,30.285714285714285,32.642857142857146,24.03906164,25.928571428571427,20.5,9.285714285714286,18.214285714285715,10.785714285714286,56.214285714285715,25.428571428571427,23.857142857142858,20.5,32.42857142857143
12,28.714285714285715,30.642857142857142,23.571428571428573,26.5,23.857142857142858,15.142857142857142,20.071428571428573,11.285714285714286,52.57142857142857,25.357142857142858,18.5,13.285714285714286,33.42857142857143
