t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,25.0,62.0,0.0,61.0,0.0,10.0,31.0,7.0,76.0,33.0,1.0,0.0,9.0
1,26.0,28.0,4.0,53.0,0.0,35.0,11.0,0.0,39.0,82.0,4.0,0.0,10.0
2,35.0,40.0,5.0,23.0,0.0,42.0,38.0,0.0,41.0,60.0,0.0,3.0,30.0
3,63.0,7.0,2.0,43.0,0.0,0.0,23.0,43.0,83.0,8.0,0.0,0.0,15.0
4,0.0,0.0,0.0,38.0,3.0,0.0,21.0,0.0,30.0,0.0,0.0,10.0,17.0
5,0.0,46.0,0.0,81.0,0.0,0.0,27.0,1.0,39.0,53.0,0.0,9.0,0.0
6,0.0,0.0,0.0,40.0,0.0,37.0,35.0,16.0,9.0,40.0,0.0,13.0,16.0
7,0.0,51.0,0.0,26.0,0.0,14.0,32.0,13.0,0.0,22.0,0.0,62.0,22.0
8,0.0,11.0,0.0,38.0,0.0,1.0,58.0,44.0,0.0,85.0,2.0,74.0,2.0
9,31.0,66.0,22.0,26.0,2.0,50.0,38.0,90.0,21.0,85.0,4.0,21.0,25.0
10,0.0,61.0,16.0,24.0,0.0,1.0,70.0,65.0,18.0,49.0,14.0,30.0,27.0
11,43.0,53.0,0.0,21.0,0.0,13.0,49.0,0.0,34.0,0.0,0.0,55.0,57.0
12,20.0,40.0,0.0,35.0,0.0,0.0,47.0,3.0,31.0,39.0,0.0,50.0,51.0
13,0.0,30.0,4.0,51.0,3.0,5.0,25.0,0.0,38.0,83.0,0.0,40.0,54.0
14,25.0,70.0,0.0,55.0,2.0,10.0,53.0,46.0,29.0,79.0,0.0,55.0,28.0
15,53.0,30.0,6.0,35.0,16.0,43.0,51.0,26.0,0.0,85.0,0.0,32.0,32.0
16,37.0,70.0,0.0,67.0,54.0,50.0,46.0,82.0,0.0,84.0,0.0,0.0,47.0
17,45.0,72.0,3.0,49.0,17.0,76.0,36.0,49.0,0.0,98.0,0.0,0.0,46.0
18,45.0,60.0,7.0,34.0,6.0,29.0,29.0,23.0,0.0,67.0,0.0,0.0,9.0
19,59.0,62.0,6.0,63.0,25.0,27.0,17.0,10.0,4.0,71.0,0.0,18.0,31.0
20,32.0,39.0,4.0,50.0,0.0,23.0,42.0,49.0,0.0,67.0,0.0,25.0,9.0
21,42.0,79.0,0.0,48.0,0.0,21.0,48.0,12.0,0.0,86.0,0.0,13.0,4.0
22,44.0,62.0,0.0,71.0,13.0,2.0,50.0,62.0,0.0,40.0,0.0,13.0,25.0
23,40.0,47.0,0.0,28.0,18.0,55.0,75.0,36.0,0.0,22.0,0.0,13.0,0.0
24,43.0,69.0,0.0,30.0,15.0,26.0,39.0,36.0,1.0,0.0,0.0,0.0,33.0
25,54.0,60.0,0.0,5.0,30.0,69.0,45.0,26.0,0.0,2.0,0.0,0.0,2.0
26,28.0,0.0,0.0,31.0,37.0,51.0,37.0,10.0,39.0,45.0,0.0,0.0,0.0
27,54.0,2.0,0.0,36.0,4.0,48.0,65.0,0.0,12.0,24.0,12.0,0.0,1.0
28,35.0,50.0,0.0,0.0,55.0,61.0,45.0,0.0,0.0,21.0,33.0,0.0,1.0
29,23.0,54.0,0.0,0.0,65.0,35.0,20.0,0.0,0.0,19.0,46.0,0.0,6.0
30,29.0,18.0,0.0,43.0,37.0,47.0,5.0,11.0,0.0,7.0,6.0,0.0,2.0
31,50.0,31.0,0.0,48.0,84.0,44.0,18.0,21.0,0.0,18.0,21.0,0.0,3.0
32,44.0,33.0,11.0,47.0,53.0,54.0,0.0,81.0,0.0,0.0,18.0,0.0,0.0
33,80.0,80.0,44.0,47.0,52.0,21.0,0.0,46.0,14.0,13.0,54.0,0.0,0.0
34,30.0,52.0,4.0,7.0,72.0,15.0,17.0,64.0,0.0,3.0,19.0,0.0,0.0
35,37.0,41.0,1.0,25.0,72.0,35.0,15.0,62.0,31.0,12.0,10.0,0.0,55.0
36,73.0,73.0,0.0,46.0,49.0,36.0,42.0,93.0,51.0,20.0,2.0,9.0,11.0
37,44.0,29.0,0.0,46.0,80.0,35.0,37.0,33.0,39.0,0.0,32.0,0.0,28.0
