t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,37.26667361111111,37.55143749999999,36.86114583333334,37.30477338592361,37.93627203601389,37.24895138888889,37.48969444444444,37.23952083333334,37.07816666666667,36.95679166666667,37.76086805555555,36.68601388888889,36.772347222222216
1,37.496520833333335,37.48866666666667,37.33311805555556,37.73725694444445,38.151513888888886,37.44966666666667,37.601578058215274,37.51897913008334,37.21970833333334,37.17444444444444,37.79495216915278,36.9665,36.938743055555555
2,37.257146769375,37.231743055555555,36.79761805555555,37.273472222222225,37.86204861111111,37.124270833333334,37.29211805555555,37.25083333333333,36.88251388888889,36.688086472777776,37.808574565104166,36.566797206604164,36.6731875
3,37.32781944444445,37.32536111111111,36.78984160708334,37.22134027777778,37.57388888888889,37.21228472222222,37.440562500000006,37.134680555555555,36.79695138888889,37.02367361111111,37.81395417135416,36.65790972222222,36.62047567301389
4,37.50550694444445,37.421081515888886,37.11752777777778,37.39733701885417,37.82940277777777,37.26571527777777,37.349756944444444,37.319381944444444,36.96534722222222,37.038006984111114,37.88488362795139,36.90173611111111,36.759055555555555
5,37.5903125,37.543601548944444,37.27518055555555,37.548493055555554,38.00326388888889,37.42429861111111,37.62258333333334,37.43548611111112,37.28436111111111,37.19053939090278,37.90575570520833,36.949194444444444,36.952395833333334
6,37.29052083333333,37.4383125,36.849041666666665,37.241256944444444,37.568354166666666,37.07641666666666,37.23401388888889,37.098395833333335,36.76834027777778,36.772490984916665,37.8022065796875,36.594125,36.655791666666666
7,37.3180625,37.2220625,36.94602777777778,37.3551875,37.585055555555556,37.14414583333333,37.287305555555555,37.031979166666666,36.946444444444445,36.90909027777778,37.75261805555555,36.68606944444445,36.859402777777774
8,37.32138194444445,37.47832024472222,36.966479139583335,37.26945833333333,37.770159722222225,37.179201388888885,37.42361805555556,37.4616875,36.9749375,37.10075,37.69606944444444,36.82588194444445,36.83945833333334
9,37.5225,37.491770833333334,37.19934027777778,37.392878685520834,37.96684722222222,37.32797222222222,37.58367361111111,37.56043051897222,37.16284027777778,37.234722222222224,37.792170103819444,37.23643055555556,36.88247222222222
10,37.39383333333333,37.20022222222222,37.417076388888894,37.18265972222222,37.638509253902775,37.00038194444445,37.18986805555556,37.36809027777778,36.732458333333334,37.07509027777778,37.63117244201389,36.90886111111111,36.57024292697222
11,37.3035625,37.127659722222226,36.85044444444444,37.197430555555556,37.3729375,37.604013888888886,37.37224305555556,37.295451388888885,36.8055,36.92672222222222,37.73646462309028,36.72258333333333,36.676260223791665
12,37.374249999999996,37.20678472222222,37.06368747291667,37.212916666666665,37.555395833333336,37.37608517043055,37.27323611111111,37.50703472222222,37.21807986961805,36.893909722222226,37.69850635989583,36.80270138888889,36.77954166666666
13,37.450263888888884,36.960048611111105,37.20196527777778,37.44790277777778,37.855868055555554,37.67997916666666,37.432604166666664,37.558875,37.389110418368055,37.108687499999995,37.74505761319444,37.1683125,36.87017361111111
