t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,38.31758333333334,37.88081089571428,37.37984523809524,37.86219047619047,37.794535714285715,37.38133333333333,37.656357142857146,37.08242857142857,37.521380952380945,37.487845306095245,38.23604613601191,36.883107142857135,37.2780238095238
1,38.475154761904754,37.93660714285715,37.551714239285715,38.43111904761905,38.64748809523809,38.38832142857143,38.683821428571434,38.327952380952375,38.004738095238096,37.887666666666654,38.37697671160714,37.57470238095238,37.67440476190476
2,38.29738095238095,38.02985714285715,37.88102380952382,38.51297619047619,38.83988095238095,38.278392857142855,38.53609523809524,38.48211904761905,37.98148809523809,37.964845238095236,38.12225088184524,37.606952380952386,37.64313095238094
3,38.22984523809523,38.29736904761905,38.11152380952381,38.49463095238095,38.68241666666667,38.11859523809523,38.37655952380952,38.4704880952381,37.892202380952384,37.714916666666674,38.01704950297619,37.435571428571414,37.558035714285715
4,38.197357142857136,38.22405952380952,38.00070238095238,38.47246428571429,38.32160714285714,38.18569047619047,38.28379761904762,38.431488095238095,37.784154761904766,37.45180952380953,37.83827380952381,37.13507142857143,37.448309523809534
5,38.15734523809524,38.14069047619047,37.72163095238095,38.41752380952381,38.19405952380952,38.15342857142857,38.329809523809516,38.405428571428565,37.441333333333326,37.45222619047619,38.03050000000001,37.29483333333334,37.46939285714285
6,38.296452380952374,37.952952380952375,37.455023809523816,38.31046428571428,38.44284523809524,38.17819047619048,38.27284523809523,38.39507142857143,37.44715476190476,37.643142857142855,38.09970037678572,37.334535714285714,37.55802380952382
7,38.2782380952381,37.483559523809525,37.35778571428572,37.554488095238085,38.436416666666666,38.20034523809523,37.97034523809523,38.37214285714286,37.409595238095235,37.756595238095244,37.891261904761905,37.40488095238095,37.42239285714287
8,37.91409523809524,37.10488095238095,37.31879761904762,37.29672619047619,38.45119047619047,37.921440476190476,37.815154761904765,38.230654761904766,37.11808333333333,37.71979761904762,37.89528571428571,37.446416666666664,37.23500000000001
9,37.30635714285713,37.445345238095236,37.113595238095236,37.21279761904761,38.49445238095238,37.49374999999999,37.58359523809524,37.71916666666667,37.06489285714285,37.302797619047624,38.013366041369046,37.39921428571429,37.0422619047619
10,37.297666666666665,37.01025,36.61265476190476,37.02836904761905,38.248250000000006,37.52608333333332,37.32164285714286,37.479321428571424,37.12553571428571,36.92479761904763,37.98883333333333,37.440916666666666,36.94275
11,37.21803731892857,37.13542857142858,36.62729761904762,36.97785714285715,37.73982142857142,37.22732142857143,37.305071428571424,36.95730952380952,36.79892857142857,36.79848809523809,37.87790476190476,37.24108333333333,36.64730952380952
12,36.942690476190485,36.8772380952381,36.64917857142858,36.92408333333333,37.367121109357136,37.04304761904761,37.01550286170238,36.61170238095239,36.52430952380952,36.45460082042857,37.60615476190476,36.56921428571429,36.38730952380953
13,37.108511904761905,36.875750000000004,36.72710714285715,37.03409523809524,37.61398809523809,36.729571428571425,37.01633333333333,36.630678571428575,36.7647964314881,36.35773809523809,37.403142857142846,36.60942857142857,36.13886853328571
14,37.02710714285714,37.06583333333333,36.754416666666664,36.72602380952382,37.35013095238095,36.63961904761904,37.0390119047619,36.73385714285713,36.55647619047619,36.47175,37.527449374702385,36.67242857142857,36.44199401088095
15,36.566452380952384,36.85008333333333,36.89038095238095,36.600440476190485,37.242988095238104,36.61960714285714,36.678309523809524,36.78759523809523,36.45022025267857,36.651988095238096,37.52675133759525,36.55427380952381,36.247880952380946
16,36.58978571428571,36.98545238095239,36.70159523809524,36.660766280630945,37.00363095238095,36.465360292166665,36.56008333333333,36.69197609640476,36.101773809523806,36.49330636259525,37.40995238095238,36.516178571428576,36.01693448707143
17,36.57242857142857,36.82819789342857,36.409238095238095,36.87866666666667,37.03476190476191,36.492130952380954,36.69594047619048,36.6528333019762,36.03714285714286,36.32911830752381,37.39559523809523,36.15446428571429,35.81676190476191
18,36.53010714285715,37.0185,36.67609751690476,36.84201822279762,36.973523809523805,36.61384523809524,36.70579761904761,36.54957142857143,36.48197619047618,36.37380952380952,37.38282142857143,36.02354761904762,35.867642857142854
19,36.54779761904762,37.09295979819048,36.78886904761905,36.64954761904762,36.968833333333336,36.58389285714286,36.65246428571429,36.64329761904762,36.51738095238095,36.474895629904765,37.393440476190484,36.03099999999999,35.826238095238104
20,36.684571428571424,36.79494184809524,36.48982138214286,36.56469047619047,36.95982538764285,36.607904761904756,36.57286904761905,36.466273809523805,36.529583333333335,36.35780952380952,37.41332142857142,36.006580925607146,36.13886904761905
21,36.70489285714286,36.99813095238095,36.60333333333334,36.729488095238096,36.92188095238095,36.64626190476191,36.64338095238095,36.635845238095236,36.60858333333333,36.573564905714285,37.54188095238095,36.11371428571428,36.38271428571429
22,36.76688095238095,36.812571428571424,36.679333333333325,36.940273809523816,37.28251190476191,36.67263095238095,36.90025000000001,36.62361904761905,36.96870238095238,36.50829761904762,37.6564880952381,36.20929761904762,36.580214285714284
23,37.261869047619044,37.193511904761905,36.645023809523806,37.07663727041666,37.278440476190475,36.88475,36.97271428571428,36.81488095238096,37.254869047619046,37.00763095238096,37.90970137886905,36.35364285714286,36.8347619047619
