t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,37.46857142857143,37.62857142857143,37.04285714285714,37.564285714285724,37.48571428571428,37.07071428571429,37.28071428571428,36.825714285714284,37.375,37.403571428571425,38.15357142857143,36.36785714285714,36.72499999999999
1,37.508571428571436,37.64714285714285,37.035714285714285,37.6,37.482142857142854,37.10071428571429,37.269285714285715,36.816428571428574,37.39714285714285,37.41857142857143,38.137142857142855,36.41357142857142,36.75714285714286
2,37.535000000000004,37.65071428571429,37.04571428571428,37.619285714285716,37.480000000000004,37.11642857142857,37.256428571428565,36.82214285714286,37.395714285714284,37.433571428571426,38.13857142857143,36.46928571428571,36.769999999999996
3,37.58142857142857,37.63357142857143,37.082857142857144,37.62714285714286,37.49928571428571,37.105000000000004,37.27642857142856,36.82714285714286,37.38285714285714,37.42642857142857,38.169285714285714,36.51642857142857,36.800000000000004
4,37.66428571428571,37.63642857142857,37.103571428571435,37.63642857142857,37.51857142857143,37.10642857142858,37.309285714285714,36.815000000000005,37.402142857142856,37.42428571428571,38.160714285714285,36.55500000000001,36.84857142857142
5,37.725,37.662142857142854,37.119285714285716,37.682142857142864,37.53928571428571,37.121428571428574,37.339285714285715,36.785000000000004,37.39785714285714,37.38357142857143,38.12428571428571,36.55857142857143,36.896428571428565
6,37.79071428571429,37.684999999999995,37.12714285714286,37.714285714285715,37.542857142857144,37.14214285714286,37.36357142857143,36.784285714285716,37.40071428571428,37.34714285714285,38.116428571428564,36.55571428571428,36.917857142857144
7,37.85142857142858,37.701428571428565,37.14714285714286,37.729285714285716,37.519999999999996,37.16285714285714,37.39142857142857,36.79,37.40071428571429,37.35214285714286,38.12142857142857,36.576428571428565,36.934285714285714
8,37.885,37.722857142857144,37.144285714285715,37.740714285714276,37.51428571428571,37.16857142857143,37.39214285714286,36.78000000000001,37.42785714285715,37.40232244857143,38.13428571428572,36.62071428571428,36.96142857142856
9,37.92357142857143,37.74285714285714,37.166428571428575,37.75928571428572,37.541428571428575,37.190714285714286,37.40642857142857,36.76,37.432857142857145,37.410714285714285,38.14857142857144,36.646428571428565,37.021428571428565
10,37.95142857142857,37.75857142857143,37.18928571428571,37.767857142857146,37.57857142857142,37.18357142857143,37.42857142857143,36.74071428571428,37.41142857142857,37.401428571428575,38.16142857142857,36.63785714285715,37.075
11,37.96642857142858,37.74928571428571,37.19428571428572,37.75214285714286,37.59714285714285,37.175000000000004,37.46571428571429,36.72071428571429,37.41285714285714,37.39214285714285,38.15500000000001,36.675000000000004,37.085
12,37.993571428571435,37.75571428571429,37.2,37.745000000000005,37.621428571428574,37.165,37.480714285714285,36.71142857142858,37.44428571428572,37.40642857142858,38.15428571428571,36.73142857142857,37.09428571428572
13,38.02071428571429,37.75428571428571,37.212857142857146,37.74,37.635,37.160714285714285,37.486428571428576,36.721428571428575,37.45357142857143,37.38214285714285,38.154999999999994,36.739285714285714,37.12428571428571
14,38.03857142857142,37.7442857142857,37.23428571428571,37.73642857142857,37.65642857142858,37.169285714285714,37.49785714285714,36.72928571428571,37.47857142857142,37.40785714285714,38.15428571428572,36.70214285714286,37.159285714285716
15,38.03857142857142,37.747142857142855,37.26499999999999,37.759285714285724,37.67785714285714,37.19785714285714,37.51857142857143,36.72428571428571,37.49428571428571,37.472857142857144,38.15571428571429,36.70214285714285,37.175
16,38.057857142857145,37.76285714285715,37.26857142857143,37.79,37.67214285714285,37.21285714285714,37.52785714285714,36.73142857142857,37.502142857142864,37.458571428571425,38.162142857142854,36.72714285714286,37.175000000000004
17,38.08,37.822142857142865,37.26285714285715,37.82285714285714,37.70142857142857,37.229285714285716,37.517857142857146,36.752142857142864,37.50714285714286,37.455714285714286,38.174285714285716,36.760714285714286,37.20142857142857
18,38.11571428571428,37.87071428571429,37.29,37.846428571428575,37.73285714285714,37.231428571428566,37.53857142857142,36.76714285714286,37.472857142857144,37.43357142857143,38.166428571428575,36.75357142857143,37.235
19,38.16000000000001,37.902142857142856,37.324999999999996,37.863571428571426,37.74642857142857,37.24714285714286,37.55142857142857,36.78142857142857,37.44714285714286,37.427857142857135,38.15642857142857,36.77,37.26
20,38.19,37.90857142857142,37.32857142857142,37.87785714285714,37.77,37.24214285714286,37.56785714285714,36.82285714285715,37.46928571428571,37.41071428571429,38.127857142857145,36.77428571428572,37.3
21,38.20214285714286,37.903571428571425,37.32714285714285,37.87928571428572,37.77785714285715,37.22785714285714,37.56285714285714,36.85928571428571,37.498571428571424,37.37928571428571,38.09928571428571,36.79571428571428,37.32785714285715
22,38.23857142857143,37.89571428571429,37.33142857142856,37.880714285714284,37.77428571428571,37.21714285714285,37.56142857142857,36.87071428571428,37.519285714285715,37.38446530571428,38.09642857142857,36.823571428571434,37.37857142857143
23,38.307857142857145,37.890714285714296,37.333571428571425,37.90142857142856,37.77428571428572,37.21857142857143,37.568571428571424,36.867142857142866,37.527857142857144,37.398751020000006,38.113571428571426,36.85142857142857,37.40857142857143
24,38.34357142857142,37.90142857142858,37.33642857142858,37.92357142857143,37.81071428571429,37.22714285714285,37.613571428571426,36.84499999999999,37.535714285714285,37.39232244857143,38.12214285714286,36.88428571428572,37.409285714285716
25,38.368571428571435,37.901428571428575,37.319285714285705,37.915000000000006,37.82214285714286,37.2407142857143,37.65642857142858,36.82071428571429,37.528571428571425,37.35285714285715,38.130714285714284,36.877857142857145,37.423571428571435
26,38.403571428571425,37.91428571428572,37.315000000000005,37.885714285714286,37.80428571428571,37.21499999999999,37.675714285714285,36.824999999999996,37.515,37.35785714285714,38.135,36.87857142857143,37.44857142857143
27,38.455714285714286,37.932857142857145,37.307142857142864,37.87071428571429,37.805714285714295,37.21785714285714,37.683571428571426,36.85,37.52285714285715,37.402142857142856,38.17142857142857,36.88857142857143,37.47285714285715
28,38.48500000000001,37.94785714285714,37.32928571428571,37.87928571428572,37.81071428571429,37.25857142857143,37.683571428571426,36.92714285714286,37.550714285714285,37.43714285714285,38.21642857142858,36.892857142857146,37.47642857142858
29,38.50857142857143,37.950714285714284,37.36,37.870000000000005,37.824285714285715,37.277857142857144,37.66428571428572,36.950714285714284,37.545,37.47642857142857,38.22571428571428,36.894999999999996,37.457857142857144
30,38.51714285714286,37.92642857142857,37.35285714285715,37.85214285714286,37.85,37.270714285714284,37.63214285714287,36.99,37.49642857142857,37.48428571428571,38.224225589285716,36.887142857142855,37.434999999999995
31,38.52357142857143,37.91642857142857,37.339285714285715,37.816428571428574,37.87785714285714,37.279999999999994,37.576428571428565,37.04642857142857,37.482142857142854,37.475,38.22922558928571,36.879999999999995,37.41071428571429
32,38.542142857142856,37.904999999999994,37.34928571428571,37.83928571428572,37.88214285714285,37.31,37.565000000000005,37.08642857142858,37.485,37.47071428571428,38.24142857142857,36.88357142857142,37.41000000000001
33,38.55357142857143,37.91857142857143,37.42785714285714,37.87,37.87071428571429,37.34857142857144,37.60142857142858,37.13428571428572,37.46857142857143,37.48357142857143,38.23500000000001,36.92,37.392857142857146
34,38.5642857142857,37.92785714285714,37.44357142857143,37.875,37.87571428571429,37.363571428571426,37.64214285714286,37.188571428571436,37.46928571428571,37.496428571428574,38.22357142857144,36.95714285714285,37.38428571428572
35,38.598571428571425,37.902857142857144,37.41857142857143,37.875,37.879999999999995,37.37,37.653571428571425,37.245,37.486428571428576,37.50928571428572,38.21928571428571,36.980714285714285,37.39785714285714
36,38.60714285714285,37.91285714285714,37.41571428571428,37.887142857142855,37.86285714285714,37.38071428571429,37.66285714285715,37.27571428571428,37.51499999999999,37.52285714285715,38.192082732142865,36.986428571428576,37.40071428571429
37,38.627142857142864,37.91401646285714,37.43071428571428,37.89071428571429,37.85928571428571,37.42071428571429,37.68571428571429,37.31142857142857,37.52571428571429,37.53142857142857,38.17351130357143,36.97928571428571,37.39785714285714
38,38.642857142857146,37.949730748571426,37.46571428571429,37.87428571428571,37.87642857142857,37.451428571428565,37.68857142857143,37.32857142857143,37.542142857142856,37.54142857142857,38.18208273214286,36.980000000000004,37.38000000000001
39,38.654999999999994,37.974730748571424,37.51785714285715,37.86,37.87571428571429,37.472857142857144,37.685,37.32357142857143,37.54857142857143,37.547142857142866,38.19351130357142,36.986428571428576,37.37357142857143
40,38.65428571428571,37.98473074857144,37.520714285714284,37.87142857142857,37.875,37.5,37.69214285714286,37.33142857142857,37.517857142857146,37.548571428571435,38.18857142857143,36.99857142857143,37.370000000000005
41,38.64071428571429,37.951159319999995,37.525,37.87642857142857,37.87071428571428,37.501428571428576,37.70928571428572,37.30142857142857,37.525,37.552857142857135,38.205,37.01285714285715,37.37142857142857
42,38.638571428571424,38.02857142857143,37.56214285714286,37.87428571428571,37.885,37.48142857142857,37.71357142857143,37.277142857142856,37.517857142857146,37.57214285714286,38.25208273214286,37.04357142857144,37.37214285714286
43,38.64642857142858,38.049285714285716,37.574999999999996,37.865,37.90642857142858,37.462857142857146,37.707857142857144,37.269285714285715,37.50714285714286,37.58857142857143,38.294939875,37.08428571428571,37.37785714285714
44,38.65428571428571,38.05714285714286,37.59214285714286,37.854285714285716,37.89214285714286,37.46214285714285,37.71142857142856,37.270714285714284,37.52928571428571,37.587857142857146,38.30351130357143,37.131428571428565,37.37214285714286
45,38.637142857142855,38.04285714285714,37.59214285714285,37.87428571428571,37.87357142857143,37.464999999999996,37.71785714285715,37.28142857142857,37.565714285714286,37.575714285714284,38.32351130357143,37.14857142857142,37.365
46,38.62642857142857,38.065714285714286,37.58,37.89214285714286,37.895714285714284,37.479285714285716,37.700714285714284,37.300714285714285,37.605714285714285,37.56,38.35422558928571,37.11714285714286,37.35857142857143
47,38.62714285714286,38.06214285714286,37.567857142857136,37.903571428571425,37.90714285714286,37.47142857142857,37.70142857142857,37.337857142857146,37.605714285714285,37.56214285714286,38.38636844642856,37.10214285714285,37.387142857142855
48,38.63714285714286,38.027857142857144,37.57928571428572,37.935,37.90428571428571,37.48285714285715,37.72714285714285,37.35,37.59357142857143,37.56357142857143,38.407022607142856,37.09928571428571,37.40357142857143
49,38.62857142857143,37.978571428571435,37.58285714285715,37.96428571428571,37.89857142857143,37.51357142857143,37.78142857142858,37.37785714285714,37.61428571428571,37.557857142857145,38.42773689285714,37.10214285714285,37.424285714285716
50,38.62785714285714,37.94571428571429,37.573571428571434,37.972857142857144,37.887142857142855,37.582142857142856,37.84214285714285,37.40571428571429,37.62214285714286,37.56142857142857,38.444819625,37.11928571428571,37.449285714285715
