t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,22.643055555555556,26.969444444444445,22.192795306458333,26.272916666666667,32.784188085972225,23.874346078055552,33.44909499611111,22.48494892909722,21.24575807347222,24.838261662986113,27.229499592499998,26.24975785784722,28.1875
1,21.413888888888888,27.869164346944444,21.538368390694444,26.378362174861113,28.280982931875002,20.736805555555556,28.337289440555555,25.325,18.458952517916664,25.380622774097223,26.530277268402774,27.512710160138887,31.634722222222223
2,24.14027777777778,46.81599708562501,20.025434195347223,28.150694444444444,31.887660308194448,23.872916666666665,24.76597222222222,22.774305555555557,20.75054392472222,25.244444444444444,29.43358302770833,28.985626826805554,28.987002568819445
3,22.94375,25.740972222222222,19.965711973125,26.580445508194444,26.00625,23.64027777777778,28.62152777777778,19.20277777777778,19.228246442638888,24.239583333333332,35.983999185,19.916666666666668,24.74375
4,21.507638888888888,25.433089697847223,20.46710086201389,28.114583333333332,24.870566265208335,23.614583333333332,23.77777777777778,20.74883781798611,18.915972222222223,32.36971331861111,24.246415953541664,22.222674524513888,22.96736111111111
5,22.869444444444444,24.37847222222222,19.099305555555556,34.65233758833334,25.815277777777776,24.07847222222222,24.756944444444443,20.951615595763887,19.129016146944444,27.430689992638886,21.593055555555555,18.906944444444445,24.12866923548611
6,24.54513888888889,25.304861111111112,24.009461973125003,28.96808971583333,24.580288487430558,27.026469933888887,23.56875,18.959254484652778,18.30949644263889,31.34861111111111,17.87986111111111,21.49513888888889,22.447222222222223
7,23.023611111111112,28.683333333333334,22.527865421180557,21.995503191250002,23.695566265208335,28.257679411388885,21.349305555555556,21.090972222222224,18.203940887083334,26.09041221486111,20.01527777777778,24.102777777777778,23.56616923548611
8,25.179166666666667,27.150694444444444,20.643923946250002,23.25215165388889,25.213194444444444,23.544444444444444,27.301388888888887,31.01597222222222,16.686579775972223,25.864650551875002,18.98263888888889,20.20347222222222,35.04047479104167
9,21.027083333333334,26.84375,22.162239750902778,30.319808746805556,22.852083333333333,34.35,26.892844996111112,23.909481191527775,21.719369184583332,28.864852207499997,27.661888787013886,26.579376826805554,24.538888888888888
10,20.663861521666668,25.361805555555556,38.69844118652777,30.990642080138887,24.219177376319447,29.175694444444446,27.57986111111111,24.20670341375,17.107731254444445,28.579995548194443,37.126971509097224,21.19375,26.9375
11,29.303444855,44.423611111111114,30.586805555555557,30.71264420763889,34.289209505277775,26.188929411388887,52.05228987555555,19.744203413749997,18.115202517916664,28.916106659305555,23.871611009236112,20.466666666666665,22.915972222222223
12,18.653472222222224,29.457638888888887,21.555555555555557,28.69780661930556,26.542521419305558,26.300694444444446,21.13838274277778,15.000921151319444,19.122071702499998,26.216666666666665,21.7625,19.126146746736108,22.18978034659722
13,22.020833333333332,29.055555555555557,31.74739616847222,22.239583333333332,41.023664659375,24.47365163361111,15.285206107222221,11.918055555555556,19.777551998194443,23.57027332597222,21.755555555555556,20.151841191180555,13.441666666666666
