t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,15.214285714285714,10.857142857142858,11.285714285714286,30.571428571428573,30.571428571428573,33.214285714285715,3.7142857142857144,39.785714285714285,16.714285714285715,4.714285714285714,13.214285714285714,19.0,25.642857142857142
1,17.142857142857142,6.857142857142857,18.571428571428573,37.642857142857146,40.714285714285715,44.5,3.4285714285714284,31.214285714285715,30.571428571428573,4.142857142857143,7.857142857142857,20.428571428571427,28.357142857142858
2,20.214285714285715,9.357142857142858,21.357142857142858,32.5,41.5,37.92857142857143,12.214285714285714,29.071428571428573,24.714285714285715,13.071428571428571,15.5,13.785714285714286,19.785714285714285
3,10.571428571428571,17.071428571428573,19.785714285714285,39.785714285714285,44.357142857142854,25.785714285714285,13.142857142857142,29.928571428571427,16.071428571428573,10.857142857142858,17.142857142857142,11.071428571428571,21.785714285714285
4,24.0,20.214285714285715,18.785714285714285,44.07142857142857,48.92857142857143,22.285714285714285,12.857142857142858,34.57142857142857,15.714285714285714,5.5,18.857142857142858,8.857142857142858,12.142857142857142
5,18.071428571428573,15.071428571428571,17.214285714285715,43.357142857142854,46.57142857142857,34.0,12.928571428571429,24.285714285714285,17.071428571428573,12.714285714285714,18.357142857142858,9.357142857142858,17.785714285714285
6,18.928571428571427,28.357142857142858,15.285714285714286,37.357142857142854,59.285714285714285,23.285714285714285,14.0,20.142857142857142,14.928571428571429,17.642857142857142,24.285714285714285,4.928571428571429,18.928571428571427
7,14.428571428571429,23.642857142857142,11.285714285714286,31.857142857142858,39.785714285714285,26.714285714285715,16.642857142857142,21.0,23.357142857142858,25.571428571428573,18.285714285714285,10.642857142857142,21.642857142857142
8,28.857142857142858,27.5,8.0,34.98868084285714,40.357142857142854,24.857142857142858,10.714285714285714,19.071428571428573,14.142857142857142,20.357142857142858,11.928571428571429,12.928571428571429,15.5
9,24.642857142857142,27.071428571428573,13.285714285714286,25.357142857142858,45.07142857142857,24.357142857142858,17.857142857142858,25.071428571428573,23.785714285714285,16.285714285714285,17.214285714285715,12.428571428571429,14.571428571428571
10,25.997185085714285,29.142857142857142,15.714285714285714,30.071428571428573,39.07142857142857,24.071428571428573,21.285714285714285,29.857142857142858,24.571428571428573,31.0,18.857142857142858,18.5,19.214285714285715
11,18.357142857142858,17.428571428571427,18.428571428571427,38.857142857142854,43.5,14.857142857142858,25.285714285714285,27.714285714285715,19.642857142857142,12.928571428571429,18.5,12.0,21.071428571428573
12,16.285714285714285,11.5,12.357142857142858,46.642857142857146,59.5,32.42857142857143,25.857142857142858,25.5,12.928571428571429,16.285714285714285,27.357142857142858,17.142857142857142,18.642857142857142
13,11.428571428571429,14.285714285714286,12.214285714285714,53.285714285714285,33.0,32.857142857142854,21.928571428571427,12.285714285714286,13.642857142857142,34.785714285714285,22.785714285714285,15.928571428571429,18.214285714285715
14,12.642857142857142,27.974940349999997,14.5,41.357142857142854,39.357142857142854,26.142857142857142,16.428571428571427,27.357142857142858,18.642857142857142,21.357142857142858,32.5,18.214285714285715,23.0
15,15.571428571428571,23.571428571428573,17.571428571428573,37.785714285714285,31.0,22.0,16.571428571428573,26.071428571428573,9.857142857142858,24.785714285714285,26.714285714285715,17.071428571428573,26.5
16,18.357142857142858,18.785714285714285,18.285714285714285,47.142857142857146,34.07142857142857,26.142857142857142,16.428571428571427,28.714285714285715,8.642857142857142,25.928571428571427,34.857142857142854,15.285714285714286,23.142857142857142
17,16.285714285714285,15.285714285714286,21.071428571428573,37.0,34.285714285714285,23.285714285714285,22.071428571428573,18.285714285714285,15.142857142857142,37.642857142857146,36.357142857142854,8.928571428571429,20.214285714285715
18,11.714285714285714,25.428571428571427,24.357142857142858,40.857142857142854,51.214285714285715,24.642857142857142,24.428571428571427,21.928571428571427,20.0,41.721199621428575,19.285714285714285,9.785714285714286,29.714285714285715
19,16.928571428571427,21.428571428571427,14.785714285714286,27.642857142857142,37.785714285714285,18.928571428571427,32.785714285714285,25.071428571428573,12.285714285714286,15.071428571428571,21.714285714285715,12.142857142857142,30.357142857142858
20,11.5,21.5,15.357142857142858,39.642857142857146,44.0,19.142857142857142,24.428571428571427,25.0,28.857142857142858,15.071428571428571,21.428571428571427,7.428571428571429,33.42857142857143
21,16.5,10.428571428571429,23.357142857142858,33.214285714285715,44.57142857142857,22.714285714285715,22.071428571428573,26.285714285714285,25.214285714285715,19.428571428571427,22.428571428571427,6.071428571428571,27.285714285714285
22,10.0,20.928571428571427,17.785714285714285,37.42857142857143,28.428571428571427,30.785714285714285,19.785714285714285,25.857142857142858,10.785714285714286,21.5,15.357142857142858,8.714285714285714,43.357142857142854
