t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,36.762145833333335,36.6213125,36.59856944444444,36.51613888888889,36.84589017504167,36.463680555555555,36.766819444444444,36.75525694444445,36.345597222222224,36.68487312429861,36.785989535381944,36.515590277777775,36.80469444444444
1,36.75111111111111,37.05920379565278,36.480243055555555,36.29340972222222,36.76474693133333,36.528875,36.64765277777778,37.024409722222224,36.329,36.667972222222225,36.68532007175695,36.55790277777778,37.18117955211111
2,36.789680555555556,37.99876388888889,36.44515972222222,36.69674305555555,36.767445027847224,36.54457638888889,36.72571527777778,36.75872916666667,36.49720138888889,36.81200694444445,36.79211022297223,36.551430555555555,36.97188194444444
3,36.78177785611111,36.958284722222224,36.442076388888886,36.64921527777778,36.81927328890278,36.427569444444444,36.81483830025,36.656625,36.27939583333333,36.645604166666665,36.75870666211806,36.36268055555555,36.95088888888889
4,36.69016666666666,36.82304861111111,36.389354166666664,36.53754861111111,36.73136354598611,36.426611111111114,36.73865277777778,36.574420724180555,36.20017361111111,36.776583333333335,36.65732352290972,36.55365277777778,36.91087537626389
5,36.70792361111111,36.83752083333333,36.322541666666666,36.430951388888886,36.63098552509722,36.42503472222222,36.78076388888889,36.805395833333336,36.108173611111106,36.707027547263884,36.728150941041676,36.568416666666664,36.76177083333333
6,36.67892361111111,36.87634722222222,36.477291666666666,36.26184027777778,36.587469377263886,36.49999305555556,36.76463888888889,36.63165277777778,36.153284722222224,36.822895833333334,36.67413312088889,36.47219444444444,36.75427777777778
7,36.604479166666664,36.93486111111111,36.31496527777778,36.41345138888889,36.72618539773611,36.41782638888889,36.71247916666667,36.72734722222223,36.271791666666665,36.77871527777778,36.60411111111111,36.451027777777774,36.65121527777778
8,36.727583333333335,36.75791666666667,36.40045138888888,36.35570833333333,36.734631472555556,36.456465277777774,36.79365972222222,36.93936111111112,36.120805555555556,36.669763888888895,36.51307974413889,36.440888888888885,37.067875
9,36.65701388888889,36.72906334822917,36.29556944444444,36.69040972222222,36.63716516134723,36.71248611111111,36.475965277777775,36.67454166666666,36.50045138888889,36.859409722222225,36.87877491179861,36.689,36.79864583333334
10,36.635930555555554,36.4734375,36.90413888888889,36.399743055555554,36.56494388744444,36.496631944444445,36.6880625,36.70805555555555,36.066965277777776,36.756388888888885,36.75338888888889,36.389006944444446,36.6433125
11,37.047246593055554,37.16158333333333,37.200465277777774,36.51629166666667,37.014827350069446,36.38200694444444,37.51064650020833,36.514270833333335,36.094631944444444,36.73659027777778,36.58254325420139,36.39416666666667,36.68290277777778
12,36.539375,36.49370833333334,36.799687500000005,36.477493055555556,36.65325767476389,36.412368055555554,37.300918322305556,36.59625694444445,35.999180555555554,36.69332638888889,36.58878427815278,36.33980555555556,36.74272916666666
13,36.45438194444444,37.105534722222224,36.82557638888889,36.93403472222222,36.775253652069445,37.04271527777778,36.45509027777778,36.97340972222223,36.115381944444444,36.68445138888889,36.48450117644445,36.3869375,36.955937500000005
