t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,36.67411904761905,36.86004761904763,36.455488095238096,36.79719047619049,37.54044843552381,36.674261904761906,36.691559523809524,37.040976190476194,36.42975,36.86375,36.77058179510715,36.742821428571425,37.28022619047619
1,37.80408333333333,37.760690476190476,37.44970238095238,37.76758333333333,37.91829568280953,37.79311904761905,37.73263095238095,37.63402380952381,37.14064285714285,38.10217857142857,37.54013806235714,38.038535714285715,37.86904761904761
2,37.92902380952381,37.951214285714286,37.36569047619048,37.43930952380952,37.832499999999996,37.763928571428565,37.89813095238095,37.45594047619047,37.12790476190476,38.08307142857143,37.6193047290238,37.841761904761896,37.6250119047619
3,37.60670238095237,37.768797619047625,36.97119047619047,37.23817857142857,37.81066666666667,37.311095238095234,37.73911904761905,37.28534523809524,36.843964285714286,37.81516666666666,37.52155117403572,37.43130952380953,37.613130952380956
4,37.304738095238086,37.57665476190476,36.6125,37.450226190476194,37.73504761904762,36.81555952380952,37.652095238095235,37.262071428571424,36.8462619047619,37.84789285714286,37.34651593828572,37.13604761904763,37.6015119047619
5,37.3969880952381,37.481297619047616,36.93266666666666,37.374785714285714,37.50161873707143,36.89094047619047,37.76988095238095,37.68505952380952,36.925690476190475,37.977333333333334,37.327160333654774,37.17380952380953,37.25653571428571
6,37.65705952380953,37.68080952380952,37.154023809523814,37.31013095238096,36.75227497428572,37.1732380952381,37.876869047619046,37.815749999999994,36.931738095238096,37.997523809523805,37.47851545975,37.154023809523814,36.976392857142855
7,37.60658333333334,37.72929761904762,37.19157142857143,36.90864285714286,36.55414935542857,37.28088095238095,37.80482142857142,37.84392857142857,36.84763095238095,37.92211904761904,37.420785714285714,36.847023809523805,37.07938095238096
8,37.424833333333325,37.429857142857145,37.038,36.65736904761905,36.459487871904756,37.36610714285714,37.68577380952381,37.14463095238096,36.64185714285714,37.460869047619056,37.29935714285714,36.80515476190476,36.61090476190476
9,37.24147619047619,37.00404761904762,36.63991666666667,36.488119047619044,36.203888869761904,37.427630952380945,37.339952380952376,36.86223809523809,36.462821428571424,37.031928571428566,36.90294047619047,36.67389285714285,36.628547619047616
10,36.96442857142857,36.72902380952382,36.61325,36.24970238095237,36.34849871585714,37.06082142857143,37.183678571428565,36.410583333333335,36.38966666666666,37.173369047619055,36.57575000000001,36.489333333333335,36.35922619047619
11,36.835702380952384,36.598285714285716,36.20578571428572,36.125904761904756,36.36988605609524,36.66961904761905,36.96982142857143,36.36240476190476,35.92810714285714,36.926940476190474,36.53194155158333,36.366190476190475,36.221559523809525
12,36.03995238095238,36.90608333333334,36.25360714285714,35.8905119047619,36.6032096275,36.090559523809524,36.398964285714285,36.39689285714286,35.60060714285714,36.19510714285714,36.21086742247619,35.83307142857142,35.922809523809526
13,35.91555952380952,36.66147619047619,36.364107142857144,35.87809523809524,36.24179171864286,35.59504761904762,36.345928571428566,35.801309523809515,35.65530952380952,35.742178571428575,36.093541286035716,35.61022619047619,36.34489285714285
14,36.1380119047619,36.31822619047619,36.37541666666667,36.10404761904762,36.61571501076191,35.81059523809524,36.10878571428572,36.19860714285714,35.805285714285716,35.89366666666667,36.293895054011905,35.774142857142856,36.675476190476196
15,35.78890476190477,36.29889285714286,36.415476190476184,36.018369047619046,36.325457613833336,35.64999999999999,35.90170238095238,36.107166666666664,35.52469047619048,35.67775,36.17270120294048,35.63913095238095,36.47161904761905
16,35.939297619047615,36.331250000000004,36.31633333333333,35.75853571428571,36.497299202785726,35.62148809523809,35.81025000000001,36.087535714285714,35.64044047619048,35.673071428571426,36.19330928716666,35.75438095238095,36.45265476190476
17,35.947273809523814,36.53964285714286,36.182940476190474,36.035964285714286,36.34904339607143,35.8502380952381,36.02559523809524,36.18695238095238,35.73515476190476,35.79571428571428,36.165265459749996,35.92211904761905,36.43386904761905
18,35.86214892142856,36.250739549345234,36.22377380952381,36.14710714285714,35.94769317495237,35.8574880952381,35.85129876226191,36.102476190476196,35.701369047619046,35.68714285714286,35.99701350477381,36.003750000000004,36.58762456995238
19,36.168166666666664,36.50114285714286,36.20592857142857,36.07877380952381,36.41663798007143,35.841345238095236,35.81565476190476,36.33629761904761,35.71225,35.96453249879762,36.187551652571436,35.92005952380952,36.61065942414286
20,36.10438108666666,36.24715888778571,36.14539285714286,36.01905952380953,36.14186582923809,35.88883333333333,36.09841327661905,36.3202688605,35.785809523809526,35.73726150959523,36.155820713392856,35.914380952380945,36.79742921645238
21,36.15065476190476,36.51626190476191,36.21894047619048,36.04586904761904,36.19761108380952,35.91382142857143,35.967490933476185,36.303023809523815,35.76004761904762,35.924321428571425,35.94830087560713,35.986761904761906,36.898380952380954
22,36.03691666666667,36.55294047619048,36.043,36.214440476190475,36.435201376357135,35.86572619047619,36.169309523809524,36.513940476190484,35.8342619047619,35.95558333333334,36.226451141154755,36.06642857142857,37.02130952380953
23,36.31054761904762,36.301452380952384,36.161452380952376,36.298619047619056,36.77903408859523,36.193666666666665,36.32096428571428,36.567833333333326,36.0122261904762,36.20114285714285,36.28402706608334,36.31455952380953,37.02440476190476
