t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,36.26785714285714,36.46999999999999,36.214999999999996,36.487857142857145,37.04071428571429,36.40500000000001,36.345714285714294,36.915,36.417857142857144,36.25428571428572,36.519285714285715,36.55928571428571,37.06642857142857
1,36.29999999999999,36.458571428571425,36.238571428571426,36.51285714285714,37.077857142857134,36.409285714285716,36.35642857142857,36.94785714285714,36.432142857142864,36.29571428571428,36.49571428571428,36.528571428571425,37.059999999999995
2,36.33571428571429,36.464285714285715,36.24999999999999,36.519285714285715,37.159285714285716,36.41428571428572,36.346428571428575,36.95642857142856,36.45142857142857,36.318571428571424,36.475,36.48428571428571,37.06999999999999
3,36.38857142857143,36.48857142857143,36.23928571428572,36.52357142857143,37.192857142857136,36.40571428571429,36.34071428571428,36.94714285714286,36.44642857142857,36.32285714285714,36.49214285714286,36.47071428571429,37.074285714285715
4,36.41571428571428,36.49999999999999,36.22785714285714,36.54071428571429,37.23357142857144,36.425000000000004,36.33642857142858,36.95642857142858,36.433571428571426,36.32285714285714,36.46642857142857,36.45142857142857,37.06571428571429
5,36.433571428571426,36.51285714285714,36.24071428571428,36.58999999999999,37.30357142857142,36.47,36.32857142857143,36.97285714285715,36.45428571428571,36.29714285714286,36.42285714285715,36.45,37.05142857142857
6,36.44642857142857,36.52857142857143,36.29357142857142,36.607142857142854,37.355000000000004,36.489285714285714,36.346428571428575,36.98142857142857,36.46928571428571,36.292142857142856,36.41357142857144,36.45,37.04571428571428
7,36.45928571428571,36.55785714285714,36.32285714285714,36.652857142857144,37.37214285714286,36.49071428571428,36.357857142857135,36.972857142857144,36.46071428571429,36.325714285714284,36.41214285714286,36.441428571428574,37.034285714285716
8,36.474999999999994,36.559285714285714,36.31142857142857,36.67785714285714,37.346428571428575,36.482857142857135,36.35785714285714,36.97428571428571,36.449999999999996,36.36714285714286,36.425714285714285,36.444285714285705,37.013571428571424
9,36.48928571428572,36.57714285714286,36.302857142857135,36.69785714285714,37.377142857142864,36.47928571428571,36.355,36.97428571428571,36.44714285714286,36.39785714285715,36.44142857142857,36.447857142857146,37.01428571428572
10,36.503571428571426,36.596428571428575,36.322142857142865,36.71857142857142,37.40642857142858,36.48714285714285,36.330714285714286,36.982857142857135,36.47071428571429,36.417142857142856,36.48142857142857,36.42142857142857,37.03285714285714
11,36.51,36.62071428571428,36.33714285714286,36.73,37.42142857142857,36.49214285714286,36.332857142857144,36.99785714285714,36.45928571428572,36.419999999999995,36.52428571428571,36.419999999999995,37.051428571428566
12,36.53142857142858,36.63071428571429,36.355000000000004,36.72714285714286,37.380714285714284,36.480714285714285,36.348571428571425,36.999285714285705,36.41357142857144,36.45642857142857,36.50785714285714,36.42857142857143,37.058571428571426
13,36.53785714285714,36.651428571428575,36.37285714285714,36.78071428571429,37.332857142857144,36.49142857142857,36.378571428571426,36.989285714285714,36.37357142857143,36.50857142857142,36.50785714285714,36.43,37.061428571428564
14,36.52214285714286,36.67285714285714,36.385714285714286,36.761428571428574,37.38714285714286,36.505714285714284,36.39928571428571,36.97214285714285,36.385714285714286,36.550714285714285,36.487857142857145,36.43642857142858,37.04428571428571
15,36.51142857142857,36.68000000000001,36.38571428571428,36.72714285714286,37.40642857142858,36.53,36.41,36.96142857142858,36.388571428571424,36.56071428571428,36.50714285714286,36.44142857142857,37.059999999999995
16,36.52357142857143,36.675000000000004,36.39928571428571,36.71928571428571,37.49857142857143,36.56642857142857,36.43285714285714,37.00357142857143,36.37,36.54285714285714,36.56357142857142,36.46785714285714,37.059285714285714
17,36.53785714285714,36.71714285714286,36.41785714285714,36.732142857142854,37.53783850999999,36.580714285714286,36.45928571428571,37.03928571428571,36.341428571428565,36.55428571428571,36.611428571428576,36.47857142857142,37.035000000000004
18,36.56071428571428,36.742142857142866,36.434285714285714,36.74071428571428,37.32999999999999,36.583571428571425,36.487142857142864,37.055,36.357142857142854,36.607142857142854,36.607142857142854,36.49571428571428,37.05357142857143
19,36.595714285714294,36.78214285714286,36.45071428571429,36.74285714285713,37.26428571428571,36.58285714285715,36.53357142857143,37.06071428571429,36.35785714285714,36.63857142857143,36.65,36.495,37.08714285714286
20,36.62,36.79857142857143,36.46071428571428,36.73642857142857,37.29,36.57571428571429,36.564285714285724,37.097142857142856,36.34642857142858,36.65857142857143,36.75142857142856,36.50785714285714,37.1
21,36.63357142857143,36.792142857142856,36.488571428571426,36.71714285714285,37.33571428571428,36.550714285714285,36.60857142857143,37.12571428571429,36.32642857142857,36.68214285714286,36.66285714285715,36.49071428571428,37.097142857142856
22,36.63214285714286,36.797142857142866,36.48428571428571,36.67428571428571,37.35142857142858,36.53928571428572,36.64071428571429,37.16285714285714,36.292857142857144,36.70428571428572,36.64714285714286,36.47428571428571,37.11714285714286
23,36.620000000000005,36.79642857142858,36.47071428571429,36.66571428571429,37.585,36.54714285714285,36.652857142857144,37.18642857142857,36.244285714285716,36.73785714285714,36.72071428571429,36.472857142857144,37.17071428571428
24,36.615714285714276,36.82071428571429,36.480000000000004,36.69571428571429,37.32214285714286,36.548571428571435,36.67,37.17785714285714,36.21714285714285,36.78928571428571,36.730000000000004,36.50642857142857,37.223571428571425
25,36.61785714285713,36.85928571428572,36.45857142857143,36.723571428571425,37.368571428571435,36.56142857142857,36.69214285714286,37.14785714285714,36.21642857142857,36.81642857142857,36.739285714285714,36.545,37.24785714285714
26,36.61428571428571,36.88,36.40999999999999,36.74785714285714,37.53069565285714,36.57785714285715,36.69571428571429,37.137142857142855,36.205,36.83,36.75571428571429,36.58,37.25785714285714
27,36.62714285714286,36.85571428571428,36.39785714285714,36.76857142857143,37.56212422428571,36.58714285714286,36.69357142857143,37.14142857142857,36.190000000000005,36.81642857142857,36.729285714285716,36.58642857142858,37.26071428571429
28,36.637857142857136,36.792857142857144,36.42,36.755,37.29638692857143,36.57714285714285,36.71999999999999,37.11928571428571,36.17,36.81642857142857,36.70214285714286,36.60857142857144,37.252857142857145
29,36.643571428571434,36.75642857142857,36.425714285714285,36.75928571428572,37.34352978571429,36.54785714285714,36.754999999999995,37.097857142857144,36.15714285714285,36.815714285714286,36.68428571428571,36.62499999999999,37.255
30,36.662142857142854,36.735,36.445,36.82,37.672838510000005,36.53714285714286,36.76857142857143,37.08714285714285,36.167142857142856,36.81857142857143,36.642857142857146,36.636428571428574,37.239285714285714
